// 色名と16進数RGBの対応表です。
aliceblue	f0f8ff	アリスブルー	アリスの青
antiquewhite	faebd7	アンティークホワイト	古びた白
aqua	00ffff	アクア	水色､薄い緑がかった青
aquamarine	7fffd4	アクアマリン	鉱石からきた青緑色
azure	f0ffff	アジュール	空色、やや緑みのあかるい青
beige	f5f5dc	ベージュ	黄色味を帯びた薄い茶色
bisque	ffe4c4	ビスク	ビスク色、素焼きの陶器
black	000000	ブラック	黒
blanchedalmond	ffebcd	ブランチドアーモンド	漂白されたアーモンド色
blue	0000ff	ブルー	青色
blueviolet	8a2be2	ブルーバイオレット	スミレ色
brown	a52a2a	ブラウン	茶色
burlywood	deb887	バーリーウッド	頑丈な木
cadetblue	5f9ea0	カデットブルー	国防色
chartreuse	7fff00	シャルトルーズ	明るく薄い黄緑色
chocolate	d2691e	チョコレート	チョコレート色
coral	ff7f50	コーラル	珊瑚色
cornflowerblue	6495ed	コーンフラワーブルー	ヤグルマギクの青色
cornsilk	fff8dc	コーンシルク	小麦絹色
crimson	dc143c	クリムソン	深紅色
cyan	00ffff	シアン	青緑色
darkblue	00008b	ダークブルー	暗い青
darkcyan	008b8b	ダークシアン	暗い青緑色
darkgoldenrod	b8860b	ダークゴールデンロッド	暗いセイタカアワダチソウ色
darkgray	a9a9a9	ダークグレイ	暗い灰色
darkgreen	006400	ダークグリーン	暗い緑
darkkhaki	bdb76b	ダークカーキ	暗いカーキ色
darkmagenta	8b008b	ダークマゼンタ	暗い紫紅色
darkolivegreen	556b2f	ダークオリーブグリーン	黄緑色
darkorange	ff8c00	ダークオレンジ	暗いオレンジ色
darkorchid	9932cc	ダークオーキッド	暗い紫色
darkred	8b0000	ダークレッド	暗い赤
darksalmon	e9967a	ダークサーモン	暗い鮭の色
darkseagreen	8fbc8f	ダークシーグリーン	暗い海色
darkslateblue	483d8b	ダークスレートブルー	青石板の暗い色
darkslategray	2f4f4f	ダークスレートグレー	灰色石板の暗い色
